web_url,is_gambling_site
https://www.nikosgreekrestaurant.com/,1
https://www.myrkurmusic.com/,1
https://www.hookedpierbar.com/,1
https://electricfeelgood.com/,1
https://thedinerqc.com/,1
https://threeirishgirls.com/,1
https://pafipcbitung.org/,1
https://pafikutaitimur.org/,1
https://justtransitioninitiative.org/,1
https://pafisumbabarat.org/,1
https://www.seattlemandaringate.com/,1
https://pafiposo.org/,1
https://harukisushi.com/,1
https://www.ksusta.net/,1
https://www.rajskitchennc.com/,1
https://www.voltamotorbikes.com/,1
https://pafioganilir.org/,1
https://urbannarawbar.com/,1
https://thesantancafe.com/,1
https://fratelliitalianrestaurant.com/,1
https://vasilisgreekrestaurant.com/,1
https://sumberrejeki-desa.id/,1
https://www.baronemiamibeach.com/,1
https://missvvietnamesecuisine.com/,1
https://off-ramp.org/,1
https://www.caulfieldsdancefitness.com/,1
https://lpbe.org/,1
https://mamidasourdough.com/,1
https://upb-uinjambi.com/,1
https://herculeschurrasqueria.com/,1
https://pafimorotai.org/,1
https://www.stayablesuites.com/,1
https://www.kahawasafi.com/,1
https://theconversation.com/dirancang-untuk-menipu-bagaimana-cara-judi-slot-mengelabui-otak-dan-merusak-realitas-214646,0
https://kumparan.com/ilkom_willy/fenomena-judi-online-slot-gaya-hidup-baru-berbahaya-di-era-digital-239w5JO7wop,0
https://www.detik.com/sumbagsel/berita/d-6855962/ini-10-hal-yang-harus-anda-ketahui-tentang-judi-slot,0
https://www.kompas.tv/lifestyle/427835/apa-itu-judi-slot-berikut-pengertian-sejarah-risiko-hingga-ancaman-pidananya?page=all,0
https://www.hukumonline.com/klinik/a/jerat-hukum-judi-online-cl7026/,0
https://www.kominfo.go.id/content/detail/43834/siaran-pers-no-340hmkominfo082022-tentang-penanganan-judi-online-oleh-kementerian-komunikasi-dan-informatika/0/siaran_pers,0
https://theconversation.com/mengapa-orang-bisa-kecanduan-bermain-judi-online-213742,0
https://www.bbc.com/indonesia/indonesia-61404363,0
https://siplawfirm.id/pelaku-judi-online-dapat-diancam-hukuman-6-tahun-penjara/?lang=id,0
https://www.cnbcindonesia.com/tech/20240614151049-37-546721/awas-kecanduan-judi-online-begini-cara-blokir-di-google-chrome,0
https://nasional.kompas.com/read/2024/06/22/10563161/mui-tegaskan-judi-online-haram-dan-merusak-moral-masyarakat#google_vignette,0
https://www.detik.com/jabar/berita/d-7540664/waspadai-ini-5-modus-penipuan-judi-online,0
https://www.cnnindonesia.com/nasional/20240423201557-12-1089657/menko-polhukam-judi-online-slot-paling-banyak-diminati-warga-ri,0
https://www.klikdokter.com/psikologi/kesehatan-mental/alasan-seseorang-kecanduan-judi-online?srsltid=AfmBOoqqJN4GC083slihbxdKDKSDFqhHkRoaquSwraAzYIQhY3ZFf1Mm,0
https://www.liputan6.com/bisnis/read/5624349/7-fakta-judi-online-transaksi-di-kalangan-atas-sentuh-rp-40-miliar-hingga-80-ribu-anak-jadi-pemain?page=4,0
https://plus.bisnis.com/read/gurita-judi-daring-negeri-champa-menjamah-tambora,0
https://metro.tempo.co/read/1860447/32-juta-pemain-judi-online-di-indonesia-kenali-modus-kategori-dan-sanksi-hukumnya,0
https://www.antaranews.com/berita/4071708/hadi-ungkap-judi-online-slot-paling-diminati-sejak-2023,0
https://www.rri.co.id/lain-lain/781078/simak-bahaya-dan-dampak-negatif-dari-judi-online,0
https://economy.okezone.com/read/2024/06/27/622/3026635/begini-cara-menghapus-akun-judi-online-slot,0
https://tirto.id/apakah-judi-online-itu-legal-dan-kenapa-orang-suka-main-slot-gZwF#google_vignette,0
https://news.republika.co.id/berita/sfmjg4409/alasan-mengapa-judi-online-marak-di-indonesia-menurut-studi,0
https://lombokpost.jawapos.com/hukrim/1504782011/cegah-judi-online-ponsel-anggota-kodim-mataram-diperiksa,0
https://mediaindonesia.com/politik-dan-hukum/680414/jawa-barat-jadi-provinsi-dengan-pemain-judi-online-terbanyak-di-indonesia-transaksinya-capai-rp38-t,0
https://www.cnbcindonesia.com/news/20220802184808-4-360603/judi-online-jadi-sumber-pajak-beneran-bisa,0
https://www.bbc.com/indonesia/articles/cg66wydzx9qo,0
https://www.inilah.com/11-cara-menghilangkan-kecanduan-judi-secara-bertahap,0
https://infopublik.id/kategori/sorot-politik-hukum/636345/polri-tindak-tegas-pemasang-iklan-pemain-dan-bandar-judi-online,0